_BSDKK,（     ）扳手的开口尺寸可以在一定范围内自由调节，用于拆装不规则的带有棱角的螺母或螺栓。,"活动"
_BSNXS,（     ）扳手能显示转矩的大小。,"扭力"
_BSSYY,（     ）扳手适用于拆装位置狭小、特别隐蔽的螺母或螺栓。,"开口"
_DLTZG,（     ）的轮胎在干燥路面能获得最大驱动力。,"横向花纹"
_DLTZJ,（     ）的轮胎在积水路面，水排不出去，就产生水质，引起打滑，造成危险，只在赛车上使用。,"无花纹"
_DLTZP,（     ）的轮胎在普通汽车上无法使用，只在赛车上使用。,"无花纹"
_JJSWF,（     ）将金属物放在蓄电池壳体上。,"禁止"
_JYLHD,（     ）具有良好的机械安定性、胶体安定性、防锈性、氧化安定性和抗水性，适用在30～120"C温度范围内使用。,"通用锂基润滑脂"
_JYYDY,（     ）将油液的压力转换为机械能带动负载运动。,"液压缸"
_NSXQ_,（     ）耐水性强，但耐热性差。,"钙基润滑脂"
_SZCYD,（     ）是最常用的表面粗糙度的评定参数。,"轮廓算术平均偏差RA"
_SZJLJ,（     ）是指将零件按其实际尺寸大小分成若干组，然后按组进行装配。,"不完全互换"
_YGGDJ,（     ）有更高的极压抗磨性和更好的高温低温性能。,"极压复合锂基润滑脂"
_ZDYSM,（     ）制动液是目前广泛应用的主要品种。,"合成型"
CLZJY_,CC、CD两种机油（     ）。,"使用CD机油的发动机工作条件更差一些"
EXFDJQ,EQ61100-1．型发动机汽缸有（     ）级修理尺寸。,"6"
HDDDLS,HID大灯点亮时会产生（     ）伏电压。,"几万"
MBS_,M20表示（     ）。,"普通粗螺纹"
TXYDST,T8014型移动式镗缸机的最大镗孔直径是（     ）。,"Φ66～Φ140"
UBLKYG,UV玻璃可以过滤（     ）。,"紫外线"
_DKFDJ,电控发动机的燃油压力低会引起发动机不能起动或运转不良故障，这故障可能是由于（     ），压力调节器或从油箱到燃油滤清器连接的任何地方有阻力所引起。,"脉动阻尼器故障"
_LYZMH,利用字母和（     ）可对设备、部件或电路图中的线路符号作标注 。,"数码"
_YBQCZ,一般汽车正常行驶时（     ）排放量最多，（     ）排放量最少。,"NoxCO"
_HQCYS,-10号轻柴油适合于最低气温在（     ）℃以上的地区使用。,"-5"
_KYYZZ,40MnB可用于制作汽车（     ）。,"变速箱二轴"
